topic,fox,cnn,msnbc
trump,420,970,650
senate,420,257,450
house,270,300,250
voters,130,320,800
abortion,0,0,13
abrams,22,101,145
afghanistan,2,36,4
fear,0,156,42
african-american,0,18,5
americans,20,45,13
fox,0,47,8
approval-rating,0,29,5
arizona,9,8,70
ballots,20,100,60
black,0,16,24
blackburn,27,2,9
media-bias,10,0,0
bipartisanship,5,0,0
birthright,6,0,2
border,8,20,7
campaign,45,108,170
caravan,30,20,7
citizenship,7,10,2
census,5,1,0
clinton,6,4,0
cohen,3,0,3
crenshaw,22,8,1
congress,7,42,51
special-counsel,4,1,3
democrats,360,120,130
donnelly,15,4,0
economy,49,100,47
facebook,2,32,0
female,9,9,7
florida,65,80,132
dakota,1,2,22
evangelical,1,2,11
feinstein,0,4,10
fraud,0,0,15
georgia,40,120,230
gillum,21,30,50
gop,130,190,100
hannity,0,10,3
graham,15,0,5
grassley,13,0,0
healthcare,15,37,2
hispanic,0,2,12
hero,30,10,0
ice,15,0,0
illinois,0,6,1
immigration,60,120,65
investigation,10,6,10
ivanka,0,3,3
iran,10,30,0
impeachment,10,0,35
iraq,0,5,0
jobs,5,13,28
kemp,20,55,156
kavanaugh,61,0,16
khashoggi,15,22,0
mccaskill,40,12,22
marijuana,1,11,18
massachusetts,0,0,12
mcsally,5,2,14
sinema,4,1,20
medicaid,0,4,16
mcconnell,17,0,0
mexico,9,1,6
migrants,15,25,19
military,4,12,7
mueller,3,7,23
nationalism,30,12,7
nelson,12,5,7
nixon,0,2,6
obama,35,105,57
orourke,37,54,40
pelosi,33,11,2
probe,5,54,31
rallies,65,60,50
redistricting,0,0,9
republicans,220,42,40
sanders,4,17,16
sessions,53,5,46
veterans,15,10,25
whitaker,17,9,10
women,15,55,45
snl,40,20,4
gender,0,36,9
sanctions,17,47,0
cruz,41,54,32
desantis,24,4,23
