topic,index,duration,frequency
abrams,1,2275,101
afghanistan,2,1044,36
african-american,3,344,18
americans,6,1297,45
approval-rating,7,686,29
arizona,8,332,8
black-voters,14,432,16
blackburn,15,39,2
border,16,679,20
campaign,18,4103,108
caravan,19,744,20
census,21,18,1
citizenship,22,344,10
clinton,23,118,4
collins,25,107,3
special-counsel,27,32,1
crenshaw,28,324,8
donnelly,32,34,4
economy,33,2582,100
facebook,35,827,32
fear,36,4024,156
feinstein,37,29,4
female,38,177,9
florida,39,1986,80
georgia,41,2858,120
gillum,42,512,30
hannity,46,307,10
healthcare,47,124,37
hero,49,215,10
hispanic,50,71,2
immigration,54,4268,120
investigation,58,168,6
iran,59,554,30
iraq,60,106,5
ivanka,61,122,3
jobs,62,274,5
kemp,65,1450,55
khashoggi,66,338,22
marijuana,67,277,11
mccaskill,71,233,12
mcsally,73,23,2
medicaid,75,149,4
mexico,76,111,1
migrants,78,455,25
military,79,192,12
mueller,84,29,7
nationalism,85,380,12
nelson,86,68,5
nixon,87,63,2
obama,88,3134,105
orourke,90,1014,54
pelosi,91,128,11
probe,93,1098,54
rallies,94,1549,60
sanders,97,515,17
sessions,99,61,5
sinema,100,7,1
snl,101,514,20
veterans,104,175,10
whitaker,107,34,9
women,108,1531,55
sanctions,109,705,47
cruz,110,1269,54
desantis,111,98,4
