topic,index,duration,frequency
abrams,1,169,22
afghanistan,2,48,2
americans,6,124,20
arizona,8,98,9
ballots,11,23,20
bipartisanship,12,58,5
birthright,13,256,6
blackburn,15,280,27
border,16,164,8
campaign,18,874,45
caravan,19,553,30
census,21,45,5
citizenship,22,86,7
clinton,23,48,6
cohen,24,30,3
collins,25,11,1
congress,26,1121,7
special-counsel,27,25,4
crenshaw,28,302,22
donnelly,32,200,15
economy,33,928,49
facebook,35,54,2
female,38,87,9
florida,39,660,65
georgia,41,239,40
gillum,42,287,21
graham,44,246,15
grassley,45,184,13
healthcare,47,0,15
hero,49,394,30
ice,52,494,15
immigration,54,1118,60
impeachment,55,67,10
indiana,56,296,35
investigation,58,173,10
iran,59,231,10
jobs,62,191,5
jones,63,28,2
kavanaugh,64,911,61
kemp,65,203,20
khashoggi,66,152,15
marijuana,67,3,1
mccaskill,71,403,40
mcconnell,72,223,17
mcsally,73,46,5
media-bias,74,218,10
mexico,76,227,9
migrants,78,119,15
military,79,52,4
mueller,84,25,3
nationalism,85,221,30
nelson,86,130,12
obama,88,512,35
ohio,89,128,10
orourke,90,300,37
pelosi,91,616,33
probe,93,128,5
rallies,94,771,65
sanders,97,58,4
sessions,99,691,53
sinema,100,75,4
snl,101,874,40
tennessee,102,276,17
veterans,104,127,15
whitaker,107,203,17
women,108,113,15
sanctions,109,328,17
cruz,110,698,41
desantis,111,373,24
