topic,index,duration,frequency
abortion,0,102,13
abrams,1,102,145
afghanistan,2,102,4
african-american,3,102,5
americans,6,407,13
approval-rating,7,165,5
arizona,8,1346,70
ballots,11,759,60
birthright,13,70,2
black-voters,14,605,24
blackburn,15,261,9
border,16,195,7
caravan,19,268,7
citizenship,22,70,2
cohen,24,75,3
collins,25,55,2
congress,26,1508,51
special-counsel,27,171,3
crenshaw,28,8,1
economy,33,1519,47
evangelical,34,283,11
fear,36,1967,42
feinstein,37,119,10
female,38,98,7
florida,39,2630,132
fraud,40,405,15
georgia,41,3077,230
gillum,42,1264,50
graham,44,44,5
hannity,46,100,3
healthcare,47,12,2
hispanic,50,109,12
illinois,53,3,1
immigration,54,2393,65
impeachment,55,0,35
indiana,56,523,24
investigation,58,282,10
ivanka,61,83,3
jobs,62,604,28
kavanaugh,64,194,0
kemp,65,3403,35
marijuana,67,240,18
mccaskill,71,324,22
mcsally,73,372,14
medicaid,75,242,16
mexico,76,198,6
migrants,78,657,19
military,79,150,7
mueller,84,441,23
nationalism,85,346,7
nelson,86,116,7
nixon,87,165,6
obama,88,622,57
orourke,90,77,40
pelosi,91,51,2
probe,93,797,31
rallies,94,650,50
redistricting,95,160,9
sanders,97,333,16
sessions,99,1268,46
sinema,100,595,20
snl,101,85,4
tennessee,102,873,30
veterans,104,146,25
whitaker,107,374,10
women,108,963,45
desantis,109,607,23
cruz,110,1180,32
