topic,fox,cnn,msnbc
abortion,0,0,13
abrams,22,101,145
afghanistan,2,36,4
african-american,0,18,5
alabama,0,4,3
alaska,0,0,16
americans,20,45,13
avenatti,7,0,0
approval-rating,0,29,5
arizona,9,8,70
arkansas,0,5,3
ballots,20,100,60
black-voters,0,16,24
blackburn,27,2,9
media-bias,10,0,0
bipartisanship,5,0,0
birthright,6,0,2
border,8,20,7
california,5,15,66
campaign,45,108,170
caravan,30,20,7
citizenship,7,10,2
carolina,8,8,1
census,5,1,0
clinton,6,4,0
cohen,3,0,3
collins,1,3,2
crenshaw,22,8,1
congress,7,42,51
special-counsel,4,1,3
democrats,360,120,130
desantis,23,5,23
donnely,15,0,0
economy,49,100,47
election,190,350,420
facebook,2,32,0
female,9,9,7
florida,65,80,132
fear,0,156,42
dakota,1,2,22
evangelical,1,2,11
feinstein,0,4,10
fraud,0,0,15
georgia,40,120,230
gillum,21,30,50
gop,130,190,100
hannity,0,10,3
graham,15,0,5
grassley,13,0,0
healthcare,15,37,2
hispanic,0,2,12
hemingway,9,0,0
hero,30,10,0
ice,15,0,0
illinois,0,6,1
immigration,60,120,65
indiana,35,4,24
inslee,0,18,0
investigation,10,6,10
ivanka,0,3,3
iran,10,30,0
impeachment,10,0,35
iraq,0,5,0
jobs,5,13,28
jones,2,32,0
kemp,20,55,156
kavanaugh,61,0,16
khashoggi,15,22,0
mccaskill,40,12,22
marijuana,1,11,18
maryland,0,8,6
massachusetts,0,0,12
maxine waters,0,0,24
mcsally,5,2,14
sinema,4,1,20
medicaid,0,4,16
mcconnell,17,0,0
mexico,9,1,6
michigan,2,15,11
midterms,400,600,500
migrants,15,25,19
military,4,12,7
minnesota,0,0,33
mississippi,0,7,17
missouri,40,25,62
montana,13,0,9
mueller,3,7,23
nationalism,30,12,7
nelson,12,5,7
nixon,0,2,6
obama,35,105,57
ohio,10,14,26
o'rourke,37,54,40
pelosi,33,11,2
pennsylvania,3,4,14
polls,240,320,270
president,100,70,30
probe,5,54,31
rallies,65,60,50
redistricting,0,0,9
republicans,220,42,40
sanders,4,17,16
senate,420,257,450
sessions,53,5,46
tennessee,17,0,30
trump,420,970,650
veterans,15,10,25
virginia,0,17,38
whitaker,17,9,10
voters,130,320,800
women,15,55,45
